date,day_of_week,location,giai_tam,giai_bay,giai_sau_1,giai_sau_2,giai_sau_3,giai_nam,giai_tu_1,giai_tu_2,giai_tu_3,giai_tu_4,giai_tu_5,giai_tu_6,giai_tu_7,giai_ba_1,giai_ba_2,giai_nhi,giai_nhat,giai_dac_biet
2012-03-01,Thu nam,Bình Định,94,291,9042,6629,0223,4961,87613,45322,24313,77848,97812,85939,90061,49652,64829,74147,54119,99232
2012-03-01,Thu nam,Quảng Trị,18,610,9348,3912,0121,8234,03898,73549,29131,25147,36198,53079,93584,39594,77751,17810,45180,82916
2012-03-01,Thu nam,Quảng Bình,37,486,3589,8039,3716,7864,24172,42140,83273,91079,27250,55805,16233,16761,63290,94192,81045,77716
2012-03-02,Thu sau,Gia Lai,39,846,3687,6516,6663,0460,89648,48152,23234,27542,13826,81508,28017,49437,81254,36483,46577,44945
2012-03-02,Thu sau,Ninh Thuận,48,593,5703,7228,0543,7192,77112,00188,69244,58878,58743,24881,37790,73169,46515,97894,33082,34837
2012-03-03,Thu bay,Đắk Nông,67,919,4022,9936,8593,8144,93906,30505,24620,94056,36124,42359,05973,58686,62848,13433,08986,30779
2012-03-03,Thu bay,Quảng Ngãi,43,835,1136,5881,4893,2319,25841,25770,73033,59352,02936,75612,98715,95906,89365,97978,28422,77976
2012-03-03,Thu bay,Đà Nẵng,15,192,3259,0626,5253,6903,39729,36771,79997,46947,86644,11350,31253,90939,59571,05286,73013,15101
2012-03-04,Chu nhat,Kon Tum,84,701,1563,6424,9792,7706,61714,43183,58815,47838,04696,57510,09083,08716,79113,73710,37338,80041
2012-03-04,Chu nhat,Khánh Hòa,14,199,0867,8446,2378,5075,59332,56923,69904,73321,12896,65437,07949,27099,74906,82902,65174,03837
2012-03-05,Thu hai,Thừa T. Huế,06,334,0414,6056,3201,8552,49824,69347,47677,52648,19554,53438,53984,52745,95546,16612,99087,15696
2012-03-05,Thu hai,Phú Yên,88,798,1578,3515,6758,6101,38027,23226,25200,67489,76513,65996,31229,40899,87141,98636,75951,25097
2012-03-06,Thu ba,Đắk Lắk,93,374,3376,5167,9110,3965,88258,87341,61503,04181,33705,93868,90016,67373,74747,72883,35726,58865
2012-03-06,Thu ba,Quảng Nam,81,597,4099,9539,1030,6895,22047,33072,40129,21792,98640,43659,96926,67339,23905,38112,38936,22036
2012-03-07,Thu tu,Khánh Hòa,02,800,1004,6385,0170,1644,14701,88585,97755,86851,56086,56508,84148,06495,99968,29170,27197,61145
2012-03-07,Thu tu,Đà Nẵng,19,014,9634,1335,1900,5261,49708,43880,20859,82694,72834,39004,66503,09045,88169,70270,17873,20338
2012-03-08,Thu nam,Quảng Bình,75,932,3795,6627,9047,1357,53963,36687,45908,30482,41490,96995,18420,82000,94045,83861,53042,42079
2012-03-08,Thu nam,Quảng Trị,39,505,4104,7786,8343,5053,68199,25940,17034,52965,27929,17711,89387,28417,30068,81717,30031,99859
2012-03-08,Thu nam,Bình Định,06,388,8895,3834,0397,0037,88899,09898,03978,89026,38721,88689,45304,17143,50603,79174,99864,95144
2012-03-09,Thu sau,Ninh Thuận,70,993,4584,4409,2523,7680,40041,51078,07782,09998,94475,59169,09048,42021,72485,95301,00508,72014
